x_value,total_1,total_2
0,1000,1000
1,999,1001
2,1005,997
3,1010,995
4,1010,992
5,1017,996
6,1019,992
7,1026,992
8,1030,995
9,1026,994
10,1031,999
11,1038,1002
12,1040,1008
13,1037,1008
14,1031,1012
15,1028,1017
16,1031,1015
17,1029,1014
18,1023,1019
19,1025,1014
20,1028,1015
21,1036,1015
22,1034,1019
23,1040,1021
24,1037,1023
25,1035,1024
26,1029,1030
27,1030,1030
28,1027,1030
29,1029,1035
30,1037,1034
31,1031,1040
32,1029,1043
33,1034,1046
34,1032,1051
35,1033,1047
36,1032,1043
37,1036,1046
38,1042,1047
39,1036,1043
40,1031,1041
41,1035,1038
42,1039,1039
43,1041,1035
44,1039,1035
45,1044,1030
46,1048,1025
47,1053,1031
48,1057,1030
49,1051,1030
50,1057,1031
51,1052,1026
52,1056,1021
53,1061,1027
54,1066,1024
55,1060,1022
56,1066,1021
57,1069,1021
58,1070,1026
59,1068,1022
60,1072,1022
61,1066,1017
62,1073,1023
63,1078,1029
64,1080,1026
65,1080,1021
66,1087,1018
67,1093,1024
68,1095,1025
69,1099,1021
70,1099,1019
71,1098,1018
72,1102,1020
73,1102,1025
74,1110,1027
75,1117,1024
76,1117,1024
77,1113,1020
78,1117,1022
79,1124,1017
80,1124,1012
81,1129,1013
82,1126,1011
83,1123,1007
84,1125,1006
85,1133,1004
86,1128,1006
87,1127,1010
88,1125,1013
89,1123,1019
90,1118,1022
91,1122,1028
92,1122,1025
93,1117,1023
94,1111,1022
95,1111,1026
96,1112,1022
97,1116,1023
98,1111,1025
99,1107,1022
100,1115,1019
101,1122,1022
102,1128,1022
103,1124,1018
104,1127,1016
105,1134,1022
106,1139,1019
107,1136,1015
108,1132,1016
109,1139,1012
110,1147,1009
111,1150,1007
112,1152,1006
113,1159,1006
114,1166,1006
115,1171,1007
116,1178,1004
117,1175,1005
118,1177,1011
119,1185,1013
120,1190,1019
121,1192,1025
122,1200,1020
123,1196,1021
124,1195,1018
125,1192,1023
126,1199,1028
127,1204,1034
128,1204,1031
129,1204,1031
130,1210,1033
131,1209,1029
132,1210,1030
133,1215,1030
134,1223,1029
135,1225,1026
136,1229,1029
137,1223,1027
138,1220,1022
139,1217,1020
140,1215,1017
141,1211,1021
142,1211,1021
143,1213,1023
144,1218,1026
145,1222,1032
146,1229,1031
147,1232,1028
148,1233,1025
149,1234,1031
150,1229,1029
151,1236,1033
152,1235,1035
153,1237,1041
154,1237,1038
155,1239,1043
156,1237,1040
157,1237,1038
158,1243,1033
159,1239,1030
160,1236,1034
161,1235,1032
162,1229,1035
163,1232,1035
164,1232,1034
165,1237,1037
166,1243,1043
167,1242,1044
168,1247,1039
169,1252,1045
170,1246,1041
171,1241,1037
172,1236,1035
173,1234,1034
174,1231,1037
175,1227,1042
176,1225,1040
177,1226,1041
178,1224,1036
179,1227,1032
180,1227,1029
181,1235,1031
182,1239,1032
183,1233,1028
184,1227,1029
185,1222,1034
186,1229,1037
187,1235,1043
188,1229,1049
189,1234,1045
190,1234,1046
191,1237,1048
192,1231,1048
193,1230,1054
194,1238,1059
195,1240,1062
196,1246,1059
197,1249,1056
198,1244,1052
199,1248,1057
200,1255,1056
201,1262,1058
202,1262,1057
203,1270,1058
204,1277,1055
205,1272,1061
206,1274,1060
207,1280,1058
208,1274,1057
209,1278,1056
210,1276,1056
211,1273,1061
212,1271,1059
213,1268,1064
214,1268,1070
215,1262,1073
216,1269,1070
217,1274,1065
218,1281,1062
219,1287,1057
220,1292,1060
221,1287,1065
222,1281,1067
223,1282,1067
224,1284,1071
225,1291,1070
226,1285,1069
227,1290,1069
228,1284,1064
229,1286,1062
230,1284,1064
231,1285,1070
232,1290,1065
233,1290,1071
234,1285,1076
235,1285,1081
236,1287,1082
237,1282,1087
